1893 World's Colombian Exposition,
18th century villa,
2626 Hyde Street (Thomas Church Garden),
A&#x00FC;ffz&#x00FC;g ders Barttlins,
Abbaye Royale de Cha&#x00E2;lis,
Abbaye Royale de Chaâlis,
Acona Pueblo,
Acropolis,
Adobe Wall Mudding,
Agra Fort (Agra, India),
Akrok&#x00F3;rinthos,
Akrokórinthos,
Albaic&#x00ED;n,
Albaicín,
Alhambra,
Allotment Gardens,
Anthea Gibson Garden,
Arcadian Way,
Arch of Constantine,
Argive Heraion,
Arnold Arboretum,
Athens,
Aztec National Monument,
Aüffzüg ders Barttlins,
Bagatelle,
Bagh-i Wafa,
Bandelier National Monument,
Barcelona,
Barnsley House,
Basilica Cattedrale Patriarcale di San Marco (Venice, Italy),
Basilica Cistern,
Basilica di San Paolo fuori le Mura,
Battery Park City,
Beinecke Rare Book and Manuscript Library,
Belvedere,
Bergama Museum,
Berlin,
Bernheim Forest,
Betatakin Ruins,
Blenheim Palace,
Boboli Gardens,
Bois de Boulogne,
Bois de Vincennes,
Bois du Boulogne,
Bosco Sacro,
Bosque de Apache,
Boston Common,
Bowood,
Buffalo Rock,
Byxbee Park,
C&#x00F3;rdoba,
Cahokia,
Camera Obscura,
Campidoglio (hill) ,
Campveerse Toren,
Canyon de Chelly,
Canyon del Muerto,
Carmen,
Carol Valentine's Garden,
Casa Batll&#x00F3;,
Casa Batlló,
Casa Mil&#x00E0;,
Casa Milà,
Casa Rinconada,
Casa del Hererro,
Casa del Herrero,
Castle Howard,
Castlerigg Stone Circle,
Cecilienhoff,
Celebration,
Central Chaco Canyon,
Central Park,
Ch&#x00E2;teau de Chenonceau,
Ch&#x00E2;teau de Courances,
Ch&#x00E2;teau de Gaillon,
Ch&#x00E2;teau de Neuilly. Domaine priv&#x00E9; du Roi,
Ch&#x00E2;teau de Sceaux,
Ch&#x00E2;teau de Villandry,
Chaco Canyon,
Chaco Canyon and Outlier System,
Chand Baori,
Charlottenburg,
Chase Manhattan Bank,
Chat&#x00EA;au d' Ancy-le-Franc,
Chat&#x00EA;au d' Anet,
Chat&#x00EA;au de Amboise,
Chat&#x00EA;au de Bagatelle,
Chat&#x00EA;au de Blois,
Chat&#x00EA;au de Chantilly,
Chat&#x00EA;au de Charleval,
Chat&#x00EA;au de Chaumont-sur-Loire,
Chat&#x00EA;au de Chenonceaux,
Chat&#x00EA;au de Courances,
Chat&#x00EA;au de Courson,
Chat&#x00EA;au de Fontainebleau,
Chat&#x00EA;au de Gaillon,
Chat&#x00EA;au de Marly,
Chat&#x00EA;au de Richelieu,
Chat&#x00EA;au de Vaux-le-Vicomte,
Chat&#x00EA;au de Versailles,
Chat&#x00EA;au de Villandry,
Chatêau d' Ancy-le-Franc,
Chatêau d' Anet,
Chatêau de Amboise,
Chatêau de Bagatelle,
Chatêau de Blois,
Chatêau de Chantilly,
Chatêau de Charleval,
Chatêau de Chaumont-sur-Loire,
Chatêau de Chenonceaux,
Chatêau de Courances,
Chatêau de Courson,
Chatêau de Fontainebleau,
Chatêau de Gaillon,
Chatêau de Marly,
Chatêau de Richelieu,
Chatêau de Vaux-le-Vicomte,
Chatêau de Versailles,
Chatêau de Villandry,
Chicago, IL,
