 
 Giacomo della Porta
1511-1592
1532 or 1533-1602 or 1604
1591-1667
1621-1691
1638-1695
1640 or 1643-1678
1650-circa 1710
1734-1797
1773-1842
Achille Duch&#x00EA;ne
Achille Duchêne
Adam Perelle
Adrien Fainsilber
Agostino Chigi
Alain Provost
Alessandro Algardi
Alessandro Farnese II
Alexander Spotswood
Alexandre Francini
Alexandre Th&#x00E9;odore Brongniart
Alexandre Théodore Brongniart
Alexandre de Laborde
Alfred Caldwell, Architect
An&#x00ED;bal Gonz&#x00E1;lez Alvarez-Ossorio
Andr&#x00E9; Le N&#x00F4;tre
Andrea Busiri-Vici
Andrea Capponi
Andrea Tirali
Andres Duany and Elizabeth Plater-Zyberk, Architects
Andrew Jackson Downing
André Le Nôtre
Andy Goldsworthy
Annibale Lippi
Anthea Gibson
Antoni Gaud&#x00ED;
Antoni Gaudí
Antonio Crivelli
Antonio Origo
Antonio da Sangalio the Younger
Antonio da Sangallo, the younger
Aníbal González Alvarez-Ossorio
Arthur Acton
Arthur Asahel Shurcliff, Landscape Architect
Arthur Delevan Gilman, Architect
Baldassare Peruzzi
Balthasar Permoser
Bartolomeo Ammanati
Beatrix Jones Farrand
Bernard Berenson
Bernard Ralph Maybeck
Bernard Tschumi
Bernardo Buontalenti
Bridgeman, Charles
Bruce Porter
Caetani Family
Caetani family
Calvert Vaux
Calvert Vaux, Architect
Capability Brown
Cardinal Ippolito II d'Este
Carlo Fontana
Carlo Maderno
Carlo Rainaldi
Carlo Vanvitelli
Carol Valentine
Cecil Pinsent
Cecil Pisent
Charles B. Atwood, Architect
Charles Bridgeman
Charles Carbonet
Charles Garnier, Architect
Charles Hamilton
Charles Howard, Earl of Carlisle
Charles Jencks
Charles Le Brun
Charles Percier
Charles Ross
Christian Cajus Lorenz Hirschfeld
Christina Beebe
Christo
Christoph Unterberger
Christopher Lloyd
Claude Desgots
Claude Lorrain
Claude Mollet the Elder
Claude Mollet the Younger
Colen Campbell
Constantijn Huygens I
Constantine, Emperor of Rome
Cornelia W. Walter
Cosimo I de' Medici
Daniel Marot the Elder
Daniel Stoopendaal
Daniel Urban Kiley
Daniel Urban Kiley, Architect
David Bates Douglass
David S. Heeschen, Astronomer
Denis B&#x00FC;hler
Denis Bühler
Diego Suarez
Domenico Antonio Vaccaro
Domenico Contarini, Doge of Venice
Dominque Girard
Domitian, Emperor of Rome
Donato Bramante
Donlyn Lyndon
Edmund Curll
Edouard Fran&#x00E7;ois Andr&#x00E9;
Edouard François André
Edward Bennett, Architect
Edwin Lutyens
Edwin Lutyens 
Eero Saarinen
Eero Saarinen, Designer
Elyn Zimmerman
Emmanuel H&#x00E9;r&#x00E9; de Corny
Emmanuel Héré de Corny
Empress Dowager Cixi
Eug&#x00E8;ne B&#x00FC;hler
Eugène Bühler
Eusebi G&#x00FC;ell Baron
Eusebi Güell Baron
Ferdinand Dietz
Ferdinando I, Grand-Duke of Tuscany
Flaminio Ponzio
Fletcher Steele
Florence Bixby
Florence Yoch
Forence Yoch
Fran&#x00E7;ois-Joseph B&#x00E9;langer
Francesco Bettini
Francesco Castelli
Frangois Nicolas Henri Racine de Monville
François-Joseph Bélanger
Frederick Hart
Frederick Law Olmstead
Frederick Law Olmsted Sr. 
Frederick Law Olmsted, Sr.
Fredrick Law Olmstead, Landscape Architect
Fredrick Law Olmsted, Sr., Landscape Architect
Friedrich Ludwig von Sckell
Friedrich Wilhelm Erdmannsdorff
G. Van Laar
